timestamp,backend,system,arch,hostname,python_version,gpu_model,gpu_index,vector_len,inner_iters,run_idx,elapsed_s,throughput_gflops,energy_joule,avg_power_watt
2026-01-23T14:24:48.143975+00:00,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,262144,1000,0,0.002759,190.0398,,
2026-01-23T14:24:48.695008+00:00,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,262144,1000,1,0.002344,223.7081,,
2026-01-23T14:24:49.240999+00:00,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,262144,1000,2,0.002247,233.3540,,
2026-01-23T14:24:49.798152+00:00,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,262144,5000,0,0.008580,305.5188,,
2026-01-23T14:24:50.330249+00:00,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,262144,5000,1,0.008941,293.1918,,
2026-01-23T14:24:50.881401+00:00,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,262144,5000,2,0.005323,492.4973,,
2026-01-23T14:24:51.433157+00:00,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,262144,10000,0,0.008543,613.6958,,
2026-01-23T14:24:51.988148+00:00,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,262144,10000,1,0.009892,530.0077,,
2026-01-23T14:24:52.545150+00:00,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,262144,10000,2,0.008477,618.4891,,
2026-01-23T14:24:53.097013+00:00,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,1048576,1000,0,0.003817,549.4001,,
2026-01-23T14:24:53.641484+00:00,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,1048576,1000,1,0.006760,310.2124,,
2026-01-23T14:24:54.189801+00:00,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,1048576,1000,2,0.006266,334.6808,,
2026-01-23T14:24:54.734641+00:00,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,1048576,5000,0,0.018311,572.6455,,
2026-01-23T14:24:55.281180+00:00,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,1048576,5000,1,0.015734,666.4590,,
2026-01-23T14:24:55.816854+00:00,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,1048576,5000,2,0.018329,572.0870,,
2026-01-23T14:24:56.365667+00:00,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,1048576,10000,0,0.027017,776.2223,,
2026-01-23T14:24:56.914625+00:00,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,1048576,10000,1,0.027183,771.4809,,
2026-01-23T14:24:57.465538+00:00,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,1048576,10000,2,0.029718,705.6851,,
2026-01-23T14:24:58.007604+00:00,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,4194304,1000,0,0.014615,573.9741,,
2026-01-23T14:24:58.562325+00:00,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,4194304,1000,1,0.013879,604.4246,,
2026-01-23T14:24:59.114459+00:00,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,4194304,1000,2,0.016409,511.2238,,
2026-01-23T14:24:59.671716+00:00,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,4194304,5000,0,0.050740,826.6227,,
2026-01-23T14:25:00.216079+00:00,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,4194304,5000,1,0.049382,849.3617,,
2026-01-23T14:25:00.766385+00:00,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,4194304,5000,2,0.047724,878.8576,,
2026-01-23T14:25:01.319230+00:00,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,4194304,10000,0,0.088757,945.1247,,
2026-01-23T14:25:01.877925+00:00,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,4194304,10000,1,0.096837,866.2580,,
2026-01-23T14:25:02.420914+00:00,metal,Darwin,arm64,MacBook-Pro-Mateusz.local,3.13.7,Apple M2 Pro,0,4194304,10000,2,0.092118,910.6364,,
